,,,,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2023,INE 2023,INE 2023,INE 2023,INE 2023,INE 2023,,INE 2020,INE 2023,INE 2017 %,INE 2017 %,INE 2017 %,MIDESO 2017 %,MIDESO 2017 %,MIDESO 2020 %,MIDESO 2022 %,,MIDESO 2022 %,,,,,,,,,
NOM_REGION,CLAVE_REGION,NOM_MUN,CLAVE_MUN,POB_TOTAL,POB_HOM,POR_HOM,POB_MUJ,POR_MUJ,POB_EDAD_0_14,POR_EDAD_0_14,POB_EDAD_15_64,POR_EDAD_15_64,POB_EDAD_65+,POR_EDAD_65+,POB_TOTAL,POB_HOM,POB_MUJ,POB_EDAD_0_14,POB_EDAD_15_64,POB_EDAD_MAS_65,SUPERFICIE,DENSIDAD 2020,DENSIDAD,%POB_RURAL,%POB_ETNIA,%POB_MIGRANTE,%POBREZA_ING,%POBREZA_MULTI,%POBREZA_ING,%POBREZA_ING,POBREZA_ING_EXTR,%POBREZA_MULTI,MARGINACION,VULNERABILIDAD_SOCIAL,VULNERABILIDAD_SOCIAL_PUNTAJE,PRIORIDAD_SOCIAL,REZAGO_SOCIAL,TASA MORTALIDAD 2020,TASA MORTALIDAD 2021,TASA EGRESOS 2020 por 100 mil,TASA EGRESOS 2021 por 100 mil
Los Ríos,14,Lanco,14103,17652,8653,49,8999,51,3633,20.58123725,11462,64.93315205,2557,14.4856107,"17,957","8,778","9,179",19.72,64.39,15.89,531.89,33.19,33.76,30.71,32.54,0.65,19.2%,25.8%,14.2%,3.9%,,15.6%,None,Medio-alta,6.421907592,,None,33.99,253.35,130.30,776.94
Los Ríos,14,Los Lagos,14104,20518,10152,49,10366,51,4074,19.85573643,13552,66.04932255,2892,14.09494103,"20,523","10,150","10,373",19.00,65.49,15.50,"1,790.03",11.46,11.47,50.10,16.09,0.55,15.5%,29.5%,14.5%,6.7%,,24.1%,None,Medio-alta,4.51097155,,None,34.12,350.76,151.09,1237.39
Los Ríos,14,Máfil,14105,7389,3637,49,3752,51,1488,20.13804304,4775,64.62308837,1126,15.23886859,"7,381","3,630","3,751",19.32,63.92,16.76,577.56,12.79,12.78,40.20,19.36,0.31,12.6%,29.8%,15.5%,7.2%,,22.9%,None,Medio-alta,5.429317091,,None,13.53,162.38,135.34,649.53
Los Ríos,14,Mariquina,14106,23250,11475,49,11775,51,5153,22.16344086,15052,64.73978495,3045,13.09677419,"23,830","11,697","12,133",21.28,64.28,14.44,"1,296.25",17.94,18.38,53.20,41.97,0.63,15.6%,24.1%,14.8%,7.9%,,26.6%,None,Medio-alta,9.695845632,,None,12.90,196.10,141.94,903.74
Los Ríos,14,Paillaco,14107,20798,10223,49,10575,51,4066,19.54995673,13596,65.37167035,3136,15.07837292,"20,915","10,265","10,650",18.74,64.75,16.51,901.46,23.07,23.20,38.32,19.98,0.76,19.1%,25.3%,14.8%,6.4%,,17.2%,None,Medio-alta,6.921673936,,None,43.27,225.44,67.31,191.86
Los Ríos,14,Panguipulli,14108,35991,17786,49,18205,51,7242,20.12169709,23707,65.86924509,5042,14.00905782,"36,178","17,857","18,321",19.29,65.35,15.36,"3,300.26",10.91,10.96,55.78,43.87,0.97,14.7%,32.6%,14.1%,10.2%,,25.1%,None,Medio-alta,7.471953375,,None,22.23,285.54,127.81,1194.83
Los Ríos,14,La Unión,14201,39538,19419,49,20119,51,7554,19.10567049,25889,65.47877991,6095,15.4155496,"39,668","19,457","20,211",18.28,64.81,16.91,"2,129.92",18.56,18.62,29.90,27.46,0.44,13.3%,24.5%,12.5%,8.7%,,18.6%,None,Medio-alta,1.73802625,,None,35.41,209.63,212.45,934.51
Los Ríos,14,Futrono,14202,15261,7530,49,7731,51,3224,21.12574536,10019,65.65100583,2018,13.2232488,"15,211","7,493","7,718",20.26,65.18,14.57,"2,105.86",7.25,7.22,44.20,33.82,0.68,14.1%,32.9%,15.8%,9.3%,,19.1%,None,Medio-alta,5.363985297,,None,0.00,255.72,13.11,340.96
Los Ríos,14,Lago Ranco,14203,10292,5140,50,5152,50,1997,19.40342013,6630,64.41896619,1665,16.17761368,"10,280","5,131","5,149",18.50,63.75,17.75,"1,744.92",5.90,5.89,77.07,53.61,0.40,14.6%,37.7%,13.6%,12.4%,,35.4%,None,Alta,12.16580882,,None,38.87,291.46,68.01,408.04
Los Ríos,14,Río Bueno,14204,32925,16225,49,16700,51,5998,18.21716021,21597,65.59453303,5330,16.18830676,"32,982","16,245","16,737",17.42,64.87,17.71,"2,175.34",15.14,15.16,45.36,27.38,0.47,16.4%,30.1%,13.6%,5.7%,,21.0%,None,Medio-alta,6.001664761,,None,30.37,182.08,72.89,267.05
Arica y Parinacota,15,Arica,15101,247552,124220,50,123332,50,51937,20.9802385,167297,67.58054873,28318,11.43921277,"255,195","128,449","126,746",20.19,67.38,12.43,"4,792.82",51.65,53.25,7.36,35.08,7.55,8.3%,21.1%,11.8%,9.1%,,18.3%,None,Medio-alta,1.346904878,,None,92.10,155.51,395.07,204.15
Arica y Parinacota,15,Camarones,15102,1233,634,51,599,49,190,15.40957015,799,64.80129765,244,19.7891322,"1,244",639,605,14.63,64.31,21.06,"3,934.92",0.31,0.32,100.00,71.33,8.62,8.8%,58.7%,22.9%,12.6%,,37.0%,None,Alta,21.83337091,,None,0.00,0.00,81.10,0.00
Arica y Parinacota,15,Putre,15201,2515,1457,58,1058,42,299,11.88866799,1911,75.98409543,305,12.12723658,"2,559","1,482","1,077",11.49,75.15,13.36,"5,885.01",0.43,0.43,22.17,59.25,10.61,14.5%,50.3%,20.4%,7.3%,,30.9%,None,Medio-alta,2.769935396,,None,39.76,0.00,0.00,0.00
Arica y Parinacota,15,General Lagos,15202,810,433,53,377,47,118,14.56790123,557,68.7654321,135,16.66666667,804,429,375,14.30,67.79,17.91,"2,256.07",0.36,0.36,100.00,75.71,10.69,21.0%,67.2%,25.9%,21.2%,,58.6%,None,Alta,34.60482006,,None,0.00,0.00,0.00,0.00
Ñuble,16,Chillán,16101,198624,95112,48,103512,52,37456,18.85774126,134431,67.68114629,26737,13.46111245,"202,826","96,449","106,377",18.12,66.80,15.08,474.83,418.31,427.16,8.71,5.35,1.33,11.7%,17.7%,13.7%,10.5%,,12.7%,None,Medio-baja,-7.2350504,,None,42.79,99.93,180.24,331.25
Ñuble,16,Bulnes,16102,22607,10983,49,11624,51,4246,18.78179325,14846,65.66992524,3515,15.54828151,"22,732","11,021","11,711",17.95,64.70,17.35,426.74,52.98,53.27,37.23,4.36,0.51,14.9%,28.7%,15.4%,12.7%,,10.1%,None,Medio-alta,2.227822943,,None,88.47,150.01,411.38,688.29
Ñuble,16,Chillán Viejo,16103,33827,16221,48,17606,52,7354,21.74003015,22913,67.73583232,3560,10.52413752,"35,176","16,805","18,371",20.98,67.13,11.89,263.64,128.31,133.42,11.32,6.13,0.65,19.1%,24.0%,14.6%,8.5%,,15.2%,None,Medio-baja,-1.824039325,,None,26.61,55.38,65.04,125.32
Ñuble,16,El Carmen,16104,12334,6059,49,6275,51,2209,17.90984271,7969,64.61002108,2156,17.48013621,"12,234","6,002","6,232",17.08,63.45,19.47,667.01,18.49,18.34,59.64,3.34,0.17,28.8%,34.1%,17.1%,14.9%,,19.0%,None,Alta,12.16375658,,None,56.75,73.13,137.83,406.27
Ñuble,16,Pemuco,16105,8639,4261,49,4378,51,1619,18.74059498,5674,65.67889802,1346,15.580507,"8,600","4,241","4,359",17.93,64.69,17.38,562.34,15.36,15.29,50.66,4.40,0.16,23.8%,28.5%,16.5%,19.0%,,20.1%,None,Medio-alta,8.131701404,,None,34.73,150.62,81.03,278.07
Ñuble,16,Pinto,16106,11880,5805,49,6075,51,2050,17.25589226,7861,66.17003367,1969,16.57407407,"12,110","5,893","6,217",16.48,65.03,18.49,"1,105.07",10.75,10.96,49.59,4.38,0.63,25.1%,37.1%,15.8%,10.3%,,22.5%,None,Medio-alta,3.801068188,,None,16.84,117.01,84.18,234.02
Ñuble,16,Quillón,16107,18777,9192,49,9585,51,3218,17.13798796,11998,63.89732119,3561,18.96469085,"19,182","9,355","9,827",16.28,62.67,21.05,406.54,46.19,47.18,40.39,5.12,0.51,16.7%,30.7%,16.8%,16.0%,,12.0%,None,Medio-alta,4.103099699,,None,69.23,116.25,239.65,385.75
Ñuble,16,San Ignacio,16108,16624,8130,49,8494,51,2951,17.7514437,10929,65.74230029,2744,16.50625602,"16,614","8,121","8,493",16.97,64.69,18.35,362.28,45.89,45.86,57.70,3.36,0.27,24.9%,32.8%,18.7%,15.7%,,21.6%,None,Alta,10.10865724,,None,48.12,114.25,168.43,348.77
Ñuble,16,Yungay,16109,18596,9156,49,9440,51,3440,18.49860185,12108,65.11077651,3048,16.39062164,"18,784","9,232","9,552",17.69,64.03,18.28,824.80,22.55,22.77,25.21,5.31,0.34,19.4%,19.9%,11.4%,10.8%,,12.8%,None,Medio-baja,-2.363042634,,None,10.76,112.48,241.99,621.32
Ñuble,16,Quirihue,16201,12192,5950,49,6242,51,2189,17.95439633,7844,64.33727034,2159,17.70833333,"12,234","5,966","6,268",17.10,63.24,19.66,584.01,20.88,20.95,18.29,4.22,0.21,18.3%,35.3%,14.9%,7.8%,,18.9%,None,Medio-alta,3.003087457,,None,73.82,106.44,270.67,687.74
Ñuble,16,Cobquecura,16202,5275,2588,49,2687,51,748,14.18009479,3356,63.62085308,1171,22.19905213,"5,238","2,556","2,682",13.36,62.20,24.44,576.32,9.15,9.09,71.01,6.05,0.30,34.2%,47.2%,19.2%,19.1%,,24.3%,None,Alta,10.7776771,,None,37.91,151.95,37.91,531.81
Ñuble,16,Coelemu,16203,16845,8252,49,8593,51,3183,18.89581478,10930,64.88572277,2732,16.21846245,"16,894","8,265","8,629",18.05,63.86,18.10,343.61,49.02,49.17,28.51,5.97,0.17,18.3%,30.7%,12.6%,13.0%,,18.4%,None,Medio-alta,3.591677828,,None,53.43,112.62,130.60,385.28
Ñuble,16,Ninhue,16204,5414,2650,49,2764,51,854,15.77391947,3433,63.40967861,1127,20.81640192,"5,370","2,624","2,746",14.92,62.09,23.00,402.88,13.44,13.33,71.24,3.08,0.24,25.3%,34.8%,14.1%,16.1%,,21.4%,None,Alta,12.34872606,,None,36.94,111.07,166.24,333.21
Ñuble,16,Portezuelo,16205,4940,2421,49,2519,51,823,16.65991903,3161,63.98785425,956,19.35222672,"4,891","2,389","2,502",15.80,62.71,21.49,288.69,17.11,16.94,62.90,2.96,0.16,18.7%,35.5%,17.4%,15.1%,,20.8%,None,Alta,10.40213528,,None,40.49,121.83,60.73,162.44
Ñuble,16,Ranquil,16206,6261,3060,49,3201,51,1050,16.77048395,3897,62.24245328,1314,20.98706277,"6,290","3,069","3,221",15.82,61.05,23.13,248.37,25.21,25.33,72.42,4.31,0.18,9.5%,24.3%,15.3%,16.8%,,15.5%,None,Medio-alta,5.695883566,,None,47.92,143.43,127.78,239.04
Ñuble,16,Treguaco,16207,5696,2811,49,2885,51,980,17.20505618,3685,64.69452247,1031,18.10042135,"5,752","2,836","2,916",16.45,63.49,20.06,312.81,18.21,18.39,67.15,4.84,0.21,20.6%,23.7%,19.0%,17.1%,,18.8%,None,Medio-alta,7.286472141,,None,35.11,209.86,87.78,367.26
Ñuble,16,San Carlos,16301,56252,27234,48,29018,52,10419,18.52200811,36982,65.74344023,8851,15.73455166,"56,886","27,456","29,430",17.73,64.72,17.56,876.91,64.15,64.87,37.27,3.49,0.40,13.8%,27.5%,14.5%,13.7%,,15.1%,None,Medio-alta,0.679207985,,None,28.44,164.60,108.44,569.92
Ñuble,16,Coihueco,16302,28375,13920,49,14455,51,5704,20.10220264,19062,67.17885463,3609,12.71894273,"28,908","14,115","14,793",19.34,66.38,14.28,"1,773.63",16.00,16.30,66.15,4.96,0.44,22.0%,27.3%,16.7%,13.5%,,24.5%,None,Medio-alta,6.221299082,,None,38.77,84.01,81.06,231.02
Ñuble,16,Ñiquén,16303,11567,5734,50,5833,50,1954,16.89288493,7329,63.36128642,2284,19.74582865,"11,541","5,720","5,821",16.01,62.13,21.86,494.01,23.41,23.36,89.66,2.90,0.24,19.9%,30.8%,19.2%,13.8%,,19.2%,None,Medio-alta,8.221642614,,None,43.23,155.64,69.16,683.10
Ñuble,16,San Fabián,16304,4654,2287,49,2367,51,838,18.00601633,2953,63.45079502,863,18.54318865,"4,761","2,329","2,432",17.06,62.32,20.63,"1,545.14",3.01,3.08,60.68,5.45,0.35,13.8%,32.4%,18.7%,15.0%,,15.0%,None,Medio-alta,3.014298041,,None,0.00,127.85,300.82,383.55
Ñuble,16,San Nicolás,16305,12172,5966,49,6206,51,2150,17.66348998,8050,66.1353927,1972,16.20111732,"12,414","6,056","6,358",16.88,65.10,18.02,567.07,21.46,21.89,57.88,3.67,0.33,14.3%,35.0%,10.2%,10.8%,,19.7%,,Medio-alta,2.234595116,,,65.72,73.40,115.02,481.20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
